"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","Genes"
"8750","GO:0043025",2.89192841314954e-08,1,50,384,"neuronal cell body","CC","Apc, Bmpr1a, Cald1, Camk2n1, Cd200, Cfl1, Cpe, Cplx2, Crmp1, Cst3, Ctsl, Dlgap4, Dpysl2, Dynlt1a, Eif5a, Epha5, Fabp7, Fez1, Gdi1, Gnas, Gsk3b, Hsp90aa1, Hsp90ab1, Kif1a, Kif5c, Map1a, Map1b, Map2, Mapt, Npy, Nrgn, Nsmf, Pebp1, Ptprz1, Rab1a, Rheb, Rtn4, Serpine2, Slc1a3, Snap25, Snca, Sncb, Sst, Stmn2, Top1, Tubb3, Tubb4a, Ubb, Uchl1, Ybx1"
"10540","GO:0048666",4.24908404643951e-08,1,65,607,"neuron development","BP","Actb, Apc, Bhlhe22, Bsg, Cd24a, Cfl1, Chl1, Creb1, Crmp1, Ctnnb1, Cux2, Dpysl2, Eef1a1, Eif4g2, Epha5, Fez1, Fgf13, Fkbp1b, Gap43, Gas7, Gdi1, Gsk3b, Hnrnpk, Hprt, Hsp90aa1, Hsp90ab1, Ift20, Kif5c, Lgals1, Map1a, Map1b, Map2, Mapt, Mef2c, Metrn, Mif, Ncs1, Nme2, Nsmf, Numbl, Pcp4, Plk2, Ptprz1, Rab11a, Rab3a, Ranbp1, Rhoa, Rorb, Rtn4, Serpine2, Slc1a3, Snap25, Stk25, Stmn1, Stmn2, Stmn3, Tubb2b, Tubb3, Ubb, Ube2v2, Uchl1, Uqcrq, Vapa, Ywhah, Ywhaz"
"6176","GO:0031175",5.96842398285992e-08,1,61,564,"neuron projection development","BP","Actb, Apc, Bhlhe22, Bsg, Cd24a, Cfl1, Chl1, Creb1, Crmp1, Ctnnb1, Cux2, Dpysl2, Eef1a1, Eif4g2, Epha5, Fez1, Fgf13, Fkbp1b, Gap43, Gas7, Gdi1, Gsk3b, Hnrnpk, Hprt, Hsp90aa1, Hsp90ab1, Ift20, Kif5c, Lgals1, Map1a, Map1b, Map2, Mapt, Mef2c, Metrn, Mif, Ncs1, Nme2, Nsmf, Numbl, Pcp4, Plk2, Ptprz1, Rab11a, Rab3a, Ranbp1, Rhoa, Rtn4, Serpine2, Snap25, Stk25, Stmn1, Stmn2, Stmn3, Tubb2b, Tubb3, Ubb, Ube2v2, Uchl1, Vapa, Ywhah"
"5878","GO:0030426",8.50895448859161e-08,0.999999979829183,25,141,"growth cone","CC","Apc, Arpc5, Calm1, Calm2, Calm3, Cfl1, Crmp1, Dpysl2, Dynlt1a, Fez1, Fgf13, Gsk3b, Hsp90aa1, Hsp90ab1, Kif5c, Map1b, Map2, Mapt, Ptprz1, Rtn4, Snap25, Snca, Sncb, Stmn2, Ywhae"
"5879","GO:0030427",9.54241095201967e-08,0.999999977221568,25,142,"site of polarized growth","CC","Apc, Arpc5, Calm1, Calm2, Calm3, Cfl1, Crmp1, Dpysl2, Dynlt1a, Fez1, Fgf13, Gsk3b, Hsp90aa1, Hsp90ab1, Kif5c, Map1b, Map2, Mapt, Ptprz1, Rtn4, Snap25, Snca, Sncb, Stmn2, Ywhae"
"6802","GO:0032502",9.6309049231214e-08,1,181,2247,"developmental process","BP","AY036118, Actb, Actg1, Agap2, Alkbh5, Anp32b, Apc, Aprt, Arhgdig, Atxn1, Basp1, Bend6, Bhlhe22, Bmpr1a, Brk1, Bsg, Btf3, Bzw2, Calr, Cav2, Cd24a, Cdk4, Cfl1, Chd5, Chl1, Cldn5, Cox7b, Cpe, Cplx2, Creb1, Crmp1, Ctla2a, Ctnnb1, Ctsl, Cux2, Cxcl14, Ddah1, Dnajb6, Dok5, Dpysl2, Dusp3, Eef1a1, Eef1e1, Eef2, Eif2s2, Eif4g1, Eif4g2, Eif5a, Epha5, Erdr1, Fabp7, Fez1, Fgf13, Fis1, Fkbp1a, Fkbp1b, Gap43, Gapdh, Gas7, Gatm, Gdi1, Gnas, Gnb1, Gng5, Gpx1, Gpx4, Gsk3b, H2afy, H3f3a, Hba-a1, Hba-a2, Hmgn1, Hnrnpk, Hprt, Hras, Hsp90aa1, Hsp90ab1, Ift20, Ift74, Igfbp7, Jund, Kdm5b, Kif1a, Kif5c, Lgals1, Lmo4, Lrrc24, Ly6e, Mal2, Map1a, Map1b, Map2, Mapt, Mef2c, Meg3, Metrn, Mif, Mmd, Mmp14, Mn1, Mt3, N4bp2l2, Naca, Nav1, Ncl, Ncs1, Ndufa2, Ndufs4, Nme2, Nnat, Npm1, Nrxn2, Nsmf, Numbl, Olig1, Pcm1, Pcp4, Pebp1, Pfdn5, Pfn1, Pglyrp1, Pin1, Plk2, Pou3f1, Ppdpf, Ppia, Ppp1r16b, Prdx2, Prkaca, Prpf40a, Ptprz1, Rab11a, Rab18, Rab1a, Rab3a, Ranbp1, Rbp1, Rheb, Rhoa, Rorb, Rtf1, Rtn4, Serpine2, Slc1a3, Slc25a4, Smap1, Smarcc2, Snap25, Snca, Sox4, Sparc, Spry2, Srpk2, Stk25, Stmn1, Stmn2, Stmn3, Sumo1, Taf10, Tbcc, Tmem176b, Tmsb4x, Top1, Tpt1, Trappc2, Ttc3, Tubb2b, Tubb3, Ubb, Ube2v2, Uchl1, Ugdh, Uqcrq, Vapa, Xist, Ybx1, Ypel3, Ywhae, Ywhah, Ywhaz, Zfp706"
"10635","GO:0048869",9.90050712349157e-08,1,136,1591,"cellular developmental process","BP","Actb, Actg1, Alkbh5, Apc, Atxn1, Basp1, Bend6, Bhlhe22, Bmpr1a, Bsg, Bzw2, Calr, Cav2, Cd24a, Cfl1, Chd5, Chl1, Cldn5, Cplx2, Creb1, Crmp1, Ctla2a, Ctnnb1, Cux2, Cxcl14, Dnajb6, Dok5, Dpysl2, Eef1a1, Eef1e1, Eef2, Eif4g1, Eif4g2, Eif5a, Epha5, Fabp7, Fez1, Fgf13, Fis1, Fkbp1b, Gap43, Gas7, Gdi1, Gnas, Gpx1, Gsk3b, H2afy, H3f3a, Hba-a1, Hba-a2, Hnrnpk, Hprt, Hras, Hsp90aa1, Hsp90ab1, Ift20, Ift74, Jund, Kif5c, Lgals1, Lmo4, Map1a, Map1b, Map2, Mapt, Mef2c, Metrn, Mif, Mmd, Mmp14, Mt3, N4bp2l2, Naca, Nav1, Ncs1, Nme2, Npm1, Nsmf, Numbl, Olig1, Pcm1, Pcp4, Pebp1, Pglyrp1, Pin1, Plk2, Pou3f1, Ppdpf, Ppia, Ppp1r16b, Prdx2, Prkaca, Prpf40a, Ptprz1, Rab11a, Rab1a, Rab3a, Ranbp1, Rbp1, Rheb, Rhoa, Rorb, Rtf1, Rtn4, Serpine2, Slc1a3, Slc25a4, Smap1, Smarcc2, Snap25, Sox4, Sparc, Spry2, Srpk2, Stk25, Stmn1, Stmn2, Stmn3, Taf10, Tbcc, Tmem176b, Tmsb4x, Ttc3, Tubb2b, Tubb3, Ubb, Ube2v2, Uchl1, Uqcrq, Vapa, Xist, Ybx1, Ypel3, Ywhae, Ywhah, Ywhaz"
"6801","GO:0032501",1.29515124022948e-07,1,190,2373,"multicellular organismal process","BP","AY036118, Actb, Agap2, Alkbh5, Anp32b, Apc, Aprt, Arhgdig, Atp1a2, Atxn1, Basp1, Bend6, Bhlhe22, Bmpr1a, Brk1, Bsg, Btf3, Bzw2, Cald1, Calr, Camta1, Cav2, Ccnd2, Cd200, Cd24a, Cdk4, Cfl1, Chd5, Chl1, Cldn5, Cnih2, Cox7b, Cpe, Cplx2, Creb1, Crmp1, Crym, Ctla2a, Ctnnb1, Ctsl, Cux2, Cxcl14, Ddah1, Dnaja1, Dnajb6, Dok5, Dpysl2, Dusp3, Eef1a1, Eef2, Eif2s2, Eif4g1, Eif4g2, Epha5, Erdr1, Fabp5, Fabp7, Fez1, Fgf13, Fkbp1a, Fkbp1b, Gap43, Gapdh, Gas7, Gatm, Gdi1, Gnai2, Gnas, Gnb1, Gng5, Gpx1, Gpx4, Gsk3b, Gstp1, H2afy, H3f3a, Hba-a1, Hba-a2, Hmgn1, Hnrnpk, Hprt, Hras, Hsp90aa1, Hsp90ab1, Ift20, Ift74, Igfbp7, Jund, Kdm5b, Kif1a, Kif5c, Lgals1, Lmo4, Lrrc24, Ly6e, Mal2, Map1a, Map1b, Map2, Mapt, Mef2c, Meg3, Metrn, Mif, Mmd, Mmp14, Mn1, Mt3, N4bp2l2, Naca, Nav1, Ncl, Ncs1, Ndufa2, Ndufs4, Nme2, Nnat, Npy, Nrxn2, Nsmf, Numbl, Olig1, Pcm1, Pcp4, Pcsk1n, Pebp1, Pfdn5, Pfn1, Pfn2, Pglyrp1, Pin1, Plk2, Pou3f1, Ppdpf, Ppia, Ppp1r16b, Prdx2, Prkaca, Ptgds, Ptprz1, Rab11a, Rab18, Rab1a, Rab3a, Rab3d, Ranbp1, Rbp1, Rheb, Rhoa, Rorb, Rtf1, Rtn4, Serpine2, Slc1a3, Slc25a4, Slc9a3r2, Smap1, Smarcc2, Snap25, Snca, Sox4, Sparc, Spry2, Srpk2, Stk25, Stmn1, Stmn2, Stmn3, Stx1a, Sumo1, Taf10, Tmem176b, Top1, Tpt1, Trappc2, Ttc3, Tubb2b, Tubb3, Ubb, Ube2v2, Uchl1, Ugdh, Uqcrq, Vapa, Xist, Ybx1, Ywhae, Ywhah, Ywhaz, Zfp706"
"2946","GO:0007409",1.60114378983625e-07,0.999999952688366,32,230,"axonogenesis","BP","Actb, Apc, Bhlhe22, Bsg, Chl1, Creb1, Crmp1, Dpysl2, Eif4g2, Epha5, Fgf13, Gap43, Gdi1, Gsk3b, Hsp90aa1, Hsp90ab1, Kif5c, Map1a, Map1b, Map2, Mapt, Metrn, Numbl, Ptprz1, Rab11a, Rab3a, Rtn4, Stk25, Stmn1, Tubb2b, Tubb3, Uchl1"
"11387","GO:0051960",1.62758880374019e-07,1,56,529,"regulation of nervous system development","BP","Atxn1, Bend6, Bmpr1a, Calr, Cd24a, Cfl1, Cpe, Creb1, Crmp1, Ctnnb1, Cux2, Dpysl2, Eef1a1, Eif4g1, Eif4g2, Fez1, Fgf13, Fkbp1b, Gap43, Gdi1, Gsk3b, Hnrnpk, Lgals1, Lrrc24, Map1b, Map2, Mapt, Mef2c, Metrn, Mif, Mmd, Mt3, Ncs1, Nme2, Nsmf, Numbl, Pcm1, Pcp4, Plk2, Prkaca, Ptprz1, Rab11a, Ranbp1, Rheb, Rhoa, Rtn4, Serpine2, Snap25, Snca, Stk25, Stmn2, Ttc3, Tubb2b, Ube2v2, Ywhah, Ywhaz"
"10966","GO:0051094",1.68418675491786e-07,1,62,582,"positive regulation of developmental process","BP","Agap2, Apc, Atxn1, Bend6, Bmpr1a, Calr, Cd24a, Cfl1, Cldn5, Creb1, Ctnnb1, Cux2, Ddah1, Eef1a1, Eef1e1, Eif4g1, Eif4g2, Eif5a, Fez1, Fis1, Fkbp1b, Gdi1, Gnas, Gsk3b, H2afy, Hnrnpk, Hsp90aa1, Hsp90ab1, Jund, Kdm5b, Lrrc24, Map1b, Mapt, Mef2c, Metrn, Mif, Mmd, Mmp14, N4bp2l2, Naca, Nme2, Nsmf, Numbl, Pcp4, Pin1, Plk2, Ppp1r16b, Ptprz1, Rab11a, Ranbp1, Rheb, Rhoa, Rtn4, Serpine2, Slc25a4, Smap1, Stk25, Stmn2, Tmsb4x, Tubb2b, Ube2v2, Ypel3"
"9623","GO:0045595",1.86520653904162e-07,1,77,785,"regulation of cell differentiation","BP","Apc, Atxn1, Bend6, Bmpr1a, Calr, Cd24a, Cfl1, Chd5, Cldn5, Creb1, Crmp1, Ctla2a, Ctnnb1, Cux2, Cxcl14, Dpysl2, Eef1a1, Eif4g1, Eif4g2, Eif5a, Fez1, Fgf13, Fkbp1b, Gdi1, Gnas, Gsk3b, H2afy, Hnrnpk, Hsp90aa1, Hsp90ab1, Jund, Lgals1, Lmo4, Map1b, Map2, Mapt, Mef2c, Metrn, Mif, Mmd, Mmp14, Mt3, N4bp2l2, Naca, Ncs1, Nme2, Nsmf, Numbl, Pcm1, Pcp4, Pglyrp1, Pin1, Plk2, Prdx2, Prkaca, Ptprz1, Rab11a, Ranbp1, Rbp1, Rheb, Rhoa, Rorb, Rtn4, Serpine2, Slc25a4, Smap1, Snap25, Spry2, Stk25, Stmn2, Tmem176b, Tmsb4x, Ttc3, Tubb2b, Ube2v2, Ybx1, Ywhah"
"12213","GO:0061564",1.96940306855467e-07,0.999999938954654,34,248,"axon development","BP","Actb, Apc, Bhlhe22, Bsg, Chl1, Creb1, Crmp1, Dpysl2, Eif4g2, Epha5, Fgf13, Fkbp1b, Gap43, Gdi1, Gsk3b, Hsp90aa1, Hsp90ab1, Kif5c, Map1a, Map1b, Map2, Mapt, Metrn, Mif, Numbl, Ptprz1, Rab11a, Rab3a, Rtn4, Stk25, Stmn1, Tubb2b, Tubb3, Uchl1"
"5745","GO:0030154",2.08911834961465e-07,1,128,1498,"cell differentiation","BP","Actb, Actg1, Alkbh5, Apc, Atxn1, Basp1, Bend6, Bhlhe22, Bmpr1a, Bsg, Bzw2, Calr, Cav2, Cd24a, Cfl1, Chd5, Chl1, Cldn5, Cplx2, Creb1, Crmp1, Ctla2a, Ctnnb1, Cux2, Cxcl14, Dnajb6, Dok5, Dpysl2, Eef1a1, Eef2, Eif4g1, Eif4g2, Eif5a, Epha5, Fabp7, Fez1, Fgf13, Fkbp1b, Gap43, Gas7, Gdi1, Gnas, Gpx1, Gsk3b, H2afy, H3f3a, Hba-a1, Hba-a2, Hnrnpk, Hprt, Hsp90aa1, Hsp90ab1, Ift20, Ift74, Jund, Kif5c, Lgals1, Lmo4, Map1a, Map1b, Map2, Mapt, Mef2c, Metrn, Mif, Mmd, Mmp14, Mt3, N4bp2l2, Naca, Nav1, Ncs1, Nme2, Nsmf, Numbl, Olig1, Pcm1, Pcp4, Pebp1, Pglyrp1, Pin1, Plk2, Pou3f1, Ppdpf, Ppia, Ppp1r16b, Prdx2, Prkaca, Ptprz1, Rab11a, Rab1a, Rab3a, Ranbp1, Rbp1, Rheb, Rhoa, Rorb, Rtf1, Rtn4, Serpine2, Slc1a3, Slc25a4, Smap1, Smarcc2, Snap25, Sox4, Spry2, Srpk2, Stk25, Stmn1, Stmn2, Stmn3, Taf10, Tmem176b, Tmsb4x, Ttc3, Tubb2b, Tubb3, Ubb, Ube2v2, Uchl1, Uqcrq, Vapa, Xist, Ybx1, Ywhae, Ywhah, Ywhaz"
"10783","GO:0050793",2.24078110413028e-07,1,98,1078,"regulation of developmental process","BP","Agap2, Apc, Atxn1, Bend6, Bmpr1a, Calr, Cd24a, Cdk4, Cfl1, Chd5, Cldn5, Cpe, Creb1, Crmp1, Ctla2a, Ctnnb1, Cux2, Cxcl14, Ddah1, Dpysl2, Eef1a1, Eef1e1, Eif4g1, Eif4g2, Eif5a, Fez1, Fgf13, Fis1, Fkbp1b, Gap43, Gas7, Gdi1, Gnas, Gng5, Gpx1, Gsk3b, H2afy, Hmgn1, Hnrnpk, Hsp90aa1, Hsp90ab1, Jund, Kdm5b, Lgals1, Lmo4, Lrrc24, Map1b, Map2, Mapt, Mef2c, Metrn, Mif, Mmd, Mmp14, Mt3, N4bp2l2, Naca, Ncs1, Nme2, Nsmf, Numbl, Pcm1, Pcp4, Pglyrp1, Pin1, Plk2, Ppp1r16b, Prdx2, Prkaca, Prpf40a, Ptprz1, Rab11a, Ranbp1, Rbp1, Rheb, Rhoa, Rorb, Rtn4, Serpine2, Slc25a4, Smap1, Snap25, Snca, Sparc, Spry2, Stk25, Stmn2, Tmem176b, Tmsb4x, Tpt1, Ttc3, Tubb2b, Ube2v2, Ybx1, Ypel3, Ywhah, Ywhaz, Zfp706"
"2730","GO:0006928",2.82759931068621e-07,1,75,727,"movement of cell or subcellular component","BP","Actb, Ap3s1, Apc, Arpc5, Atp1a2, Bmpr1a, Brk1, Bsg, Calr, Cd24a, Cd81, Cfl1, Chl1, Cnih2, Crmp1, Ctnnb1, Cxcl14, Dnaja1, Dpysl2, Dstn, Dusp3, Dynll1, Epha5, Erdr1, Fez1, Fgf13, Gap43, Gnai2, Gpx1, Gsk3b, Hras, Hsp90aa1, Ift20, Ift74, Kctd13, Kif1a, Kif21a, Kif5c, Kifc2, Ktn1, Lmo4, Map1a, Map1b, Map2, Mapt, Mef2c, Mif, Mmp14, Naca, Nav1, Nisch, Nsmf, Pcm1, Pfn1, Pfn2, Pin1, Plk2, Prpf40a, Ptprz1, Rab11a, Rab1a, Rhoa, Rtn4, Sparc, Spry2, Sst, Stmn1, Sumo1, Tmsb10, Tmsb4x, Tubb2b, Tubb3, Ubb, Uchl1, Ywhae"
"16777","GO:2000026",3.32510480749512e-07,1,80,846,"regulation of multicellular organismal development","BP","Agap2, Apc, Atxn1, Bend6, Bmpr1a, Calr, Cd24a, Cfl1, Cldn5, Cpe, Creb1, Crmp1, Ctla2a, Ctnnb1, Cux2, Ddah1, Dpysl2, Eef1a1, Eif4g1, Eif4g2, Fez1, Fgf13, Fkbp1b, Gap43, Gdi1, Gnas, Gng5, Gpx1, Gsk3b, H2afy, Hnrnpk, Hsp90aa1, Kdm5b, Lgals1, Lrrc24, Map1b, Map2, Mapt, Mef2c, Metrn, Mif, Mmd, Mmp14, Mt3, N4bp2l2, Naca, Ncs1, Nme2, Nsmf, Numbl, Pcm1, Pcp4, Pglyrp1, Pin1, Plk2, Ppp1r16b, Prdx2, Prkaca, Ptprz1, Rab11a, Ranbp1, Rbp1, Rheb, Rhoa, Rtn4, Serpine2, Slc25a4, Smap1, Snap25, Snca, Sparc, Spry2, Stk25, Stmn2, Tmem176b, Ttc3, Tubb2b, Ube2v2, Ywhah, Ywhaz"
"6267","GO:0031344",4.66958477360934e-07,0.99999986461937,48,421,"regulation of cell projection organization","BP","Apc, Brk1, Cd24a, Cfl1, Crmp1, Cux2, Dpysl2, Dynll1, Eef1a1, Eif4g2, Fez1, Fgf13, Fkbp1b, Gap43, Gdi1, Gsk3b, Hnrnpk, Hras, Hsp90aa1, Ift20, Lgals1, Map1b, Map2, Mapt, Mef2c, Metrn, Mif, Ncs1, Nme2, Nsmf, Numbl, Pcp4, Pfn1, Pfn2, Plk2, Ptprz1, Rab11a, Ranbp1, Rhoa, Rtn4, Serpine2, Snap25, Spry2, Stk25, Stmn2, Tubb2b, Ube2v2, Ywhah"
"10609","GO:0048812",4.79451529382103e-07,0.999999837494847,41,357,"neuron projection morphogenesis","BP","Actb, Apc, Bhlhe22, Bsg, Cfl1, Chl1, Creb1, Crmp1, Ctnnb1, Cux2, Dpysl2, Eif4g2, Epha5, Fgf13, Gap43, Gas7, Gdi1, Gsk3b, Hnrnpk, Hprt, Hsp90aa1, Hsp90ab1, Kif5c, Map1a, Map1b, Map2, Mapt, Metrn, Nsmf, Numbl, Ptprz1, Rab11a, Rab3a, Rtn4, Stk25, Stmn1, Tubb2b, Tubb3, Ubb, Uchl1, Ywhah"
"10541","GO:0048667",5.46266821148279e-07,0.99999980796877,39,329,"cell morphogenesis involved in neuron differentiation","BP","Actb, Apc, Bhlhe22, Bsg, Cfl1, Chl1, Creb1, Crmp1, Cux2, Dpysl2, Eif4g2, Epha5, Fgf13, Gap43, Gdi1, Gsk3b, Hprt, Hsp90aa1, Hsp90ab1, Kif5c, Map1a, Map1b, Map2, Mapt, Mef2c, Metrn, Nsmf, Numbl, Ptprz1, Rab11a, Rab3a, Rtn4, Slc1a3, Stk25, Stmn1, Tubb2b, Tubb3, Uchl1, Ywhah"
"292","GO:0000904",6.83013294083512e-07,0.9999997606145,43,376,"cell morphogenesis involved in differentiation","BP","Actb, Apc, Bhlhe22, Bsg, Calr, Cfl1, Chl1, Creb1, Crmp1, Ctnnb1, Cux2, Dpysl2, Eif4g2, Epha5, Fgf13, Gap43, Gdi1, Gsk3b, Hprt, Hsp90aa1, Hsp90ab1, Kif5c, Map1a, Map1b, Map2, Mapt, Mef2c, Metrn, Nsmf, Numbl, Ptprz1, Rab11a, Rab1a, Rab3a, Rtn4, Slc1a3, Stk25, Stmn1, Ttc3, Tubb2b, Tubb3, Uchl1, Ywhah"
"3207","GO:0008361",7.06479240282451e-07,0.99999985072796,19,101,"regulation of cell size","BP","Cdk4, Cfl1, Creb1, Dpysl2, Eif4g2, Fgf13, Gdi1, Gsk3b, Hsp90aa1, Hsp90ab1, Lamtor5, Lars, Map1b, Map2, Mapt, Npm1, Rab11a, Rhoa, Rtn4"
"9243","GO:0044325",7.14835670984969e-07,0.999999859086791,18,81,"ion channel binding","MF","Ap2m1, Calm1, Calm2, Calm3, Ctnnb1, Fgf13, Fkbp1a, Fkbp1b, Hsp90aa1, Hsp90ab1, Snap25, Stx1a, Trappc2, Vamp2, Ywhae, Ywhah, Ywhaq, Ywhaz"
"9625","GO:0045597",8.76811721362495e-07,0.999999735986384,51,462,"positive regulation of cell differentiation","BP","Apc, Atxn1, Bend6, Bmpr1a, Calr, Cd24a, Cfl1, Cldn5, Creb1, Ctnnb1, Cux2, Eef1a1, Eif4g1, Eif4g2, Eif5a, Fez1, Fkbp1b, Gdi1, Gnas, Gsk3b, H2afy, Hnrnpk, Hsp90aa1, Hsp90ab1, Jund, Map1b, Mapt, Mef2c, Metrn, Mif, Mmd, Mmp14, Nme2, Nsmf, Numbl, Pcp4, Pin1, Ptprz1, Rab11a, Ranbp1, Rheb, Rhoa, Rtn4, Serpine2, Slc25a4, Smap1, Stk25, Stmn2, Tmsb4x, Tubb2b, Ube2v2"
"7079","GO:0032990",9.00468150430072e-07,0.999999661049727,43,380,"cell part morphogenesis","BP","Actb, Apc, Bhlhe22, Bsg, Cfl1, Chl1, Creb1, Crmp1, Ctnnb1, Cux2, Dpysl2, Eif4g2, Epha5, Fez1, Fgf13, Fis1, Gap43, Gas7, Gdi1, Gsk3b, Hnrnpk, Hprt, Hsp90aa1, Hsp90ab1, Kif5c, Map1a, Map1b, Map2, Mapt, Metrn, Nsmf, Numbl, Ptprz1, Rab11a, Rab3a, Rtn4, Stk25, Stmn1, Tubb2b, Tubb3, Ubb, Uchl1, Ywhah"
"14669","GO:0120039",9.1677248456669e-07,0.999999662164743,41,365,"plasma membrane bounded cell projection morphogenesis","BP","Actb, Apc, Bhlhe22, Bsg, Cfl1, Chl1, Creb1, Crmp1, Ctnnb1, Cux2, Dpysl2, Eif4g2, Epha5, Fgf13, Gap43, Gas7, Gdi1, Gsk3b, Hnrnpk, Hprt, Hsp90aa1, Hsp90ab1, Kif5c, Map1a, Map1b, Map2, Mapt, Metrn, Nsmf, Numbl, Ptprz1, Rab11a, Rab3a, Rtn4, Stk25, Stmn1, Tubb2b, Tubb3, Ubb, Uchl1, Ywhah"
"3065","GO:0008092",9.2704616398839e-07,0.999999715687827,54,480,"cytoskeletal protein binding","MF","Actb, Apc, Arpc5, Cald1, Capza2, Cfl1, Crmp1, Dpysl2, Dstn, Dusp3, Eef2, Fez1, Fgf13, Gabarap, Gapdh, Gas7, Gnas, Gnb1, Gsk3b, Hnrnpk, Hsp90aa1, Hsp90ab1, Ift74, Kif1a, Kif21a, Kif5c, Kifc2, Ktn1, Map1a, Map1b, Map2, Mapt, Marcksl1, Pfn1, Pfn2, Rab11a, Rab11b, Rab3a, Rab3d, Rhoa, Snap25, Snca, Sncb, Stmn1, Stmn2, Stmn3, Stx1a, Tbca, Tbcc, Tmsb10, Tmsb4x, Vamp2, Vapa, Ywhah"
"10630","GO:0048858",9.72564804654208e-07,0.999999640743031,41,366,"cell projection morphogenesis","BP","Actb, Apc, Bhlhe22, Bsg, Cfl1, Chl1, Creb1, Crmp1, Ctnnb1, Cux2, Dpysl2, Eif4g2, Epha5, Fgf13, Gap43, Gas7, Gdi1, Gsk3b, Hnrnpk, Hprt, Hsp90aa1, Hsp90ab1, Kif5c, Map1a, Map1b, Map2, Mapt, Metrn, Nsmf, Numbl, Ptprz1, Rab11a, Rab3a, Rtn4, Stk25, Stmn1, Tubb2b, Tubb3, Ubb, Uchl1, Ywhah"
"14666","GO:0120035",1.05773950650477e-06,0.999999609783966,47,418,"regulation of plasma membrane bounded cell projection organization","BP","Apc, Brk1, Cd24a, Cfl1, Crmp1, Cux2, Dpysl2, Dynll1, Eef1a1, Eif4g2, Fez1, Fgf13, Fkbp1b, Gap43, Gdi1, Gsk3b, Hnrnpk, Hras, Hsp90aa1, Ift20, Lgals1, Map1b, Map2, Mapt, Mef2c, Metrn, Mif, Ncs1, Nme2, Nsmf, Numbl, Pcp4, Pfn1, Pfn2, Plk2, Ptprz1, Rab11a, Ranbp1, Rhoa, Rtn4, Serpine2, Snap25, Stk25, Stmn2, Tubb2b, Ube2v2, Ywhah"
"4220","GO:0015078",1.29022390630099e-06,0.999999737168784,20,52,"proton transmembrane transporter activity","MF","Atp5d, Atp5e, Atp5g1, Atp5g2, Atp5h, Atp5k, Atp5o, Atp6v0b, Atp6v1g1, Cox4i1, Cox5a, Cox6a1, Cox6a2, Cox6c, Cox7a2, Cox7a2l, Cox7b, Cox7c, Cox8a, Ndufa4"
"3082","GO:0008135",1.37864367885165e-06,0.999999749418331,16,65,"translation factor activity, RNA binding","MF","Eef1a1, Eef1b2, Eef1d, Eef1g, Eef2, Eif1b, Eif2s2, Eif3c, Eif3f, Eif3h, Eif3k, Eif3m, Eif4a2, Eif4g1, Eif4g2, Eif5a"
"3889","GO:0010720",1.44333885148365e-06,0.999999462684373,39,323,"positive regulation of cell development","BP","Atxn1, Bend6, Calr, Cd24a, Cfl1, Cldn5, Ctnnb1, Cux2, Eef1a1, Eif4g1, Eif4g2, Fez1, Fkbp1b, Gdi1, Gsk3b, Hnrnpk, Map1b, Mapt, Mef2c, Metrn, Mif, Mmd, Nme2, Nsmf, Numbl, Pcp4, Pin1, Ptprz1, Rab11a, Ranbp1, Rheb, Rhoa, Rtn4, Serpine2, Slc25a4, Stk25, Stmn2, Tubb2b, Ube2v2"
"4219","GO:0015077",1.97600867009566e-06,0.99999945536214,25,106,"monovalent inorganic cation transmembrane transporter activity","MF","Atp1a2, Atp5d, Atp5e, Atp5g1, Atp5g2, Atp5h, Atp5k, Atp5o, Atp6v0b, Atp6v1g1, Cox4i1, Cox5a, Cox6a1, Cox6a2, Cox6c, Cox7a2, Cox7a2l, Cox7b, Cox7c, Cox8a, Ndufa4, Slc1a3, Slc6a11, Slc6a15, Snap25"
"2782","GO:0007017",2.04611257750053e-06,0.999999237042262,46,372,"microtubule-based process","BP","Ap3s1, Apc, Calm3, Chd3, Cnih2, Crmp1, Ctnnb1, Dynll1, Fez1, Fgf13, Gabarap, Gapdh, Gsk3b, Ift20, Ift74, Kif1a, Kif21a, Kif5c, Kifc2, Ktn1, Map1a, Map1b, Map2, Mapt, Nav1, Npm1, Pcm1, Plk2, Rab11a, Rab1a, Ranbp1, Rhoa, Snca, Son, Spry2, Stmn1, Stmn2, Stmn3, Tuba1b, Tubb2a, Tubb2b, Tubb3, Tubb4a, Tubb5, Ubb, Uchl1"
